MONTHS_WORKED;HOURS_PER_WEEK;URBAN_RURAL;SEX;AGE_RANGE;SALARY_RANK;SEX_BK;OCCUPATION_BK;AGE_RANGE_BK;OCCUPATION
12;35;2;1;1;1;M;arriero;ADULTEZ;9
12;32;1;0;0;1;F;arriero;ADOLESCENCIA;9
12;60;1;1;2;1;M;arriero;INFANCIA;9
12;50;1;1;1;1;M;arriero;ADULTEZ;9
12;48;1;0;4;1;F;arriero;PRIMERA INFANCIA;9
12;54;1;0;5;1;F;arriero;VEJEZ;9
8;54;1;0;1;1;F;arriero;ADULTEZ;9
12;40;1;1;1;1;M;arriero;ADULTEZ;9
12;40;1;1;1;1;M;arriero;ADULTEZ;9
12;50;1;0;1;1;F;arriero;ADULTEZ;9
12;50;1;1;1;1;M;arriero;ADULTEZ;9
12;40;1;0;1;1;F;arriero;ADULTEZ;9
12;42;1;0;1;1;F;arriero;ADULTEZ;9
12;28;1;1;5;1;M;arriero;VEJEZ;9
12;15;1;1;1;1;M;arriero;ADULTEZ;9
12;48;1;0;1;1;F;arriero;ADULTEZ;9
12;42;1;0;1;1;F;arriero;ADULTEZ;9
12;20;1;0;1;1;F;arriero;ADULTEZ;9
12;50;1;0;5;1;F;arriero;VEJEZ;9
12;70;1;0;2;2;F;arriero;INFANCIA;9
12;72;1;0;0;2;F;arriero;ADOLESCENCIA;9
12;50;1;0;3;2;F;arriero;JUVENTUD;9
12;48;1;1;1;1;M;arriero;ADULTEZ;9
12;40;1;1;1;1;M;arriero;ADULTEZ;9
12;48;1;1;1;1;M;arriero;ADULTEZ;9
12;15;1;0;5;1;F;arriero;VEJEZ;9
12;28;1;0;1;1;F;arriero;ADULTEZ;9
12;40;1;1;0;1;M;arriero;ADOLESCENCIA;9
12;48;2;0;1;2;F;arriero;ADULTEZ;9
12;48;2;0;3;2;F;arriero;JUVENTUD;9
12;50;2;0;1;1;F;arriero;ADULTEZ;9
8;30;2;0;1;1;F;arriero;ADULTEZ;9
12;50;2;0;3;1;F;arriero;JUVENTUD;9
9;48;2;1;1;1;M;arriero;ADULTEZ;9
12;48;1;0;1;2;F;arriero;ADULTEZ;9
12;48;2;0;3;2;F;arriero;JUVENTUD;9
12;40;1;0;0;1;F;arriero;ADOLESCENCIA;9
12;40;1;1;2;1;M;arriero;INFANCIA;9
12;48;1;0;0;2;F;arriero;ADOLESCENCIA;9
12;56;1;1;1;2;M;arriero;ADULTEZ;9
12;54;1;1;3;2;M;arriero;JUVENTUD;9
12;70;1;0;2;1;F;arriero;INFANCIA;9
10;50;1;0;5;1;F;arriero;VEJEZ;9
12;30;1;0;1;1;F;arriero;ADULTEZ;9
12;34;1;0;1;1;F;arriero;ADULTEZ;9
12;32;1;1;2;1;M;arriero;INFANCIA;9
12;70;1;1;1;1;M;arriero;ADULTEZ;9
12;60;2;0;3;1;F;arriero;JUVENTUD;9
12;40;2;0;4;1;F;arriero;PRIMERA INFANCIA;9
12;48;1;0;5;1;F;arriero;VEJEZ;9
12;42;1;1;5;2;M;arriero;VEJEZ;9
12;14;1;1;5;1;M;arriero;VEJEZ;9
12;21;1;0;5;1;F;arriero;VEJEZ;9
12;55;2;0;1;1;F;arriero;ADULTEZ;9
12;55;2;0;5;2;F;arriero;VEJEZ;9
12;40;1;0;1;1;F;arriero;ADULTEZ;9
12;16;1;0;1;1;F;arriero;ADULTEZ;9
12;36;1;1;2;1;M;arriero;INFANCIA;9
12;48;1;1;1;1;M;arriero;ADULTEZ;9
12;40;1;0;0;1;F;arriero;ADOLESCENCIA;9
12;48;1;1;3;1;M;arriero;JUVENTUD;9
12;48;1;0;3;2;F;arriero;JUVENTUD;9
12;70;1;1;1;2;M;arriero;ADULTEZ;9
12;50;1;0;1;1;F;arriero;ADULTEZ;9
12;50;1;1;1;1;M;arriero;ADULTEZ;9
12;48;1;1;1;2;M;arriero;ADULTEZ;9
12;48;1;1;3;1;M;arriero;JUVENTUD;9
12;48;1;1;1;1;M;arriero;ADULTEZ;9
12;49;1;0;1;1;F;arriero;ADULTEZ;9
10;28;1;0;1;1;F;arriero;ADULTEZ;9
12;48;1;1;2;1;M;arriero;INFANCIA;9
12;48;1;0;1;1;F;arriero;ADULTEZ;9
12;42;1;0;1;1;F;arriero;ADULTEZ;9
12;20;1;1;3;1;M;arriero;JUVENTUD;9
12;48;1;0;1;2;F;arriero;ADULTEZ;9
12;40;1;0;1;1;F;arriero;ADULTEZ;9
12;49;1;1;3;2;M;arriero;JUVENTUD;9
12;49;1;0;5;2;F;arriero;VEJEZ;9
12;50;1;0;0;2;F;arriero;ADOLESCENCIA;9
5;24;1;0;5;1;F;arriero;VEJEZ;9
12;56;1;0;5;2;F;arriero;VEJEZ;9
12;54;1;1;1;2;M;arriero;ADULTEZ;9
12;24;1;0;1;1;F;arriero;ADULTEZ;9
12;24;1;1;1;1;M;arriero;ADULTEZ;9
12;44;1;1;4;2;M;arriero;PRIMERA INFANCIA;9
12;48;1;0;3;1;F;arriero;JUVENTUD;9
12;40;1;0;5;1;F;arriero;VEJEZ;9
11;24;1;0;1;1;F;arriero;ADULTEZ;9
12;50;1;1;0;1;M;arriero;ADOLESCENCIA;9
7;50;1;0;5;1;F;arriero;VEJEZ;9
12;48;1;0;1;1;F;arriero;ADULTEZ;9
12;48;1;0;0;1;F;arriero;ADOLESCENCIA;9
12;70;1;0;1;2;F;arriero;ADULTEZ;9
12;48;1;0;3;2;F;arriero;JUVENTUD;9
12;48;1;1;5;2;M;arriero;VEJEZ;9
12;48;1;1;0;1;M;arriero;ADOLESCENCIA;9
12;48;1;1;1;1;M;arriero;ADULTEZ;9
12;40;1;0;1;1;F;arriero;ADULTEZ;9
12;48;1;1;0;1;M;arriero;ADOLESCENCIA;9
12;40;1;1;0;1;M;arriero;ADOLESCENCIA;9
12;44;1;0;1;1;F;arriero;ADULTEZ;9
7;56;1;1;4;1;M;arriero;PRIMERA INFANCIA;9
12;40;1;1;3;1;M;arriero;JUVENTUD;9
12;56;1;1;1;2;M;arriero;ADULTEZ;9
12;40;1;0;2;2;F;arriero;INFANCIA;9
12;48;1;0;5;2;F;arriero;VEJEZ;9
12;50;1;0;1;2;F;arriero;ADULTEZ;9
12;45;1;1;1;2;M;arriero;ADULTEZ;9
12;60;1;1;2;2;M;arriero;INFANCIA;9
12;55;1;0;1;2;F;arriero;ADULTEZ;9
12;50;1;1;3;2;M;arriero;JUVENTUD;9
1;24;1;1;0;2;M;arriero;ADOLESCENCIA;9
12;24;1;0;1;1;F;arriero;ADULTEZ;9
12;40;1;0;1;1;F;arriero;ADULTEZ;9
12;40;1;0;2;1;F;arriero;INFANCIA;9
12;50;1;0;2;1;F;arriero;INFANCIA;9
8;48;2;0;1;1;F;arriero;ADULTEZ;9
12;54;1;1;3;1;M;arriero;JUVENTUD;9
8;20;2;0;0;1;F;cocinero;ADOLESCENCIA;16
12;30;2;1;1;1;M;cocinero;ADULTEZ;16
12;10;1;0;1;1;F;cocinero;ADULTEZ;16
2;60;1;0;5;2;F;cocinero;VEJEZ;16
12;48;1;1;4;1;M;cocinero;PRIMERA INFANCIA;16
4;40;1;0;1;1;F;cocinero;ADULTEZ;16
12;40;1;0;2;1;F;cocinero;INFANCIA;16
12;56;1;0;5;1;F;cocinero;VEJEZ;16
12;32;1;0;5;1;F;cocinero;VEJEZ;16
11;48;1;1;0;2;M;cocinero;ADOLESCENCIA;16
12;60;1;1;1;1;M;cocinero;ADULTEZ;16
12;15;1;1;2;1;M;cocinero;INFANCIA;16
12;48;1;0;1;1;F;cocinero;ADULTEZ;16
12;46;1;0;0;1;F;cocinero;ADOLESCENCIA;16
12;56;1;1;1;2;M;cocinero;ADULTEZ;16
10;77;1;1;5;1;M;cocinero;VEJEZ;16
12;60;1;0;1;1;F;cocinero;ADULTEZ;16
11;28;1;0;5;1;F;cocinero;VEJEZ;16
12;60;1;0;2;1;F;cocinero;INFANCIA;16
8;50;1;0;1;1;F;cocinero;ADULTEZ;16
12;48;1;1;0;1;M;cocinero;ADOLESCENCIA;16
12;72;1;1;1;2;M;cocinero;ADULTEZ;16
11;54;1;1;3;1;M;cocinero;JUVENTUD;16
12;30;1;0;1;1;F;cocinero;ADULTEZ;16
12;48;1;1;1;1;M;cocinero;ADULTEZ;16
12;48;1;1;1;1;M;cocinero;ADULTEZ;16
12;24;1;1;1;1;M;cocinero;ADULTEZ;16
12;72;1;0;3;1;F;cocinero;JUVENTUD;16
12;48;1;0;1;1;F;cocinero;ADULTEZ;16
12;48;1;1;3;1;M;cocinero;JUVENTUD;16
12;48;1;1;1;1;M;cocinero;ADULTEZ;16
12;56;1;1;1;1;M;cocinero;ADULTEZ;16
6;9;1;0;5;1;F;cocinero;VEJEZ;16
12;30;1;1;3;1;M;cocinero;JUVENTUD;16
12;30;1;0;1;1;F;cocinero;ADULTEZ;16
12;10;1;0;5;1;F;cocinero;VEJEZ;16
1;60;1;1;3;1;M;cocinero;JUVENTUD;16
9;50;1;1;1;1;M;cocinero;ADULTEZ;16
12;48;1;0;3;2;F;cocinero;JUVENTUD;16
12;60;1;0;1;2;F;cocinero;ADULTEZ;16
12;98;1;0;0;1;F;cocinero;ADOLESCENCIA;16
12;50;1;0;3;1;F;cocinero;JUVENTUD;16
2;36;1;1;0;1;M;cocinero;ADOLESCENCIA;16
12;48;1;1;3;2;M;cocinero;JUVENTUD;16
12;66;1;1;1;2;M;cocinero;ADULTEZ;16
12;48;1;1;0;2;M;cocinero;ADOLESCENCIA;16
12;48;1;1;0;2;M;cocinero;ADOLESCENCIA;16
12;48;1;0;5;2;F;cocinero;VEJEZ;16
12;25;1;1;5;1;M;cocinero;VEJEZ;16
12;20;1;1;1;1;M;cocinero;ADULTEZ;16
12;45;1;1;1;1;M;cocinero;ADULTEZ;16
12;48;1;0;1;1;F;cocinero;ADULTEZ;16
8;16;1;1;3;1;M;cocinero;JUVENTUD;16
12;48;1;0;1;1;F;cocinero;ADULTEZ;16
12;24;1;0;1;1;F;cocinero;ADULTEZ;16
12;21;1;1;1;1;M;cocinero;ADULTEZ;16
5;84;1;0;1;1;F;cocinero;ADULTEZ;16
12;48;1;0;1;1;F;cocinero;ADULTEZ;16
4;50;1;0;5;1;F;cocinero;VEJEZ;16
