MONTHS_WORKED;HOURS_PER_WEEK;SALARY;URBAN_RURAL;SEX;AGE;SEX_BK;OCCUPATION_BK;OCCUPATION
12;35;600000.0;2;1;51;M;arriero;9
12;32;250000.0;1;0;15;F;arriero;9
12;60;1000000.0;1;1;6;M;arriero;9
12;50;1000000.0;1;1;50;M;arriero;9
12;48;1160000.0;1;0;5;F;arriero;9
12;54;1150000.0;1;0;62;F;arriero;9
8;54;800000.0;1;0;27;F;arriero;9
12;40;900000.0;1;1;35;M;arriero;9
12;40;580000.0;1;1;34;M;arriero;9
12;50;800000.0;1;0;50;F;arriero;9
12;50;900000.0;1;1;49;M;arriero;9
12;40;320000.0;1;0;50;F;arriero;9
12;42;200000.0;1;0;28;F;arriero;9
12;28;650000.0;1;1;65;M;arriero;9
12;15;150000.0;1;1;54;M;arriero;9
12;48;1160000.0;1;0;55;F;arriero;9
12;42;750000.0;1;0;50;F;arriero;9
12;20;500000.0;1;0;53;F;arriero;9
12;50;400000.0;1;0;88;F;arriero;9
12;70;1420000.0;1;0;9;F;arriero;9
12;72;1650000.0;1;0;13;F;arriero;9
12;50;1230000.0;1;0;23;F;arriero;9
12;48;1150000.0;1;1;50;M;arriero;9
12;40;900000.0;1;1;38;M;arriero;9
12;48;900000.0;1;1;29;M;arriero;9
12;15;50000.0;1;0;62;F;arriero;9
12;28;200000.0;1;0;56;F;arriero;9
12;40;300000.0;1;1;12;M;arriero;9
12;48;1360000.0;2;0;55;F;arriero;9
12;48;2000000.0;2;0;22;F;arriero;9
12;50;500000.0;2;0;53;F;arriero;9
8;30;400000.0;2;0;28;F;arriero;9
12;50;1000000.0;2;0;23;F;arriero;9
9;48;1160000.0;2;1;50;M;arriero;9
12;48;1520000.0;1;0;53;F;arriero;9
12;48;1210000.0;2;0;24;F;arriero;9
12;40;350000.0;1;0;14;F;arriero;9
12;40;400000.0;1;1;10;M;arriero;9
12;48;1330000.0;1;0;16;F;arriero;9
12;56;1260000.0;1;1;51;M;arriero;9
12;54;1340000.0;1;1;24;M;arriero;9
12;70;800000.0;1;0;9;F;arriero;9
10;50;1000000.0;1;0;80;F;arriero;9
12;30;260000.0;1;0;40;F;arriero;9
12;34;300000.0;1;0;41;F;arriero;9
12;32;300000.0;1;1;9;M;arriero;9
12;70;980000.0;1;1;37;M;arriero;9
