MONTHS_WORKED;HOURS_PER_WEEK;URBAN_RURAL;SEX;AGE_RANGE;SALARY_RANK;OCCUPATION
12;35;2;1;1;1;9
12;32;1;0;0;1;9
12;60;1;1;2;1;9
12;50;1;1;1;1;9
12;48;1;0;4;1;9
12;54;1;0;5;1;9
8;54;1;0;1;1;9
12;40;1;1;1;1;9
12;40;1;1;1;1;9
12;50;1;0;1;1;9
12;50;1;1;1;1;9
12;40;1;0;1;1;9
12;42;1;0;1;1;9
12;28;1;1;5;1;9
12;15;1;1;1;1;9
12;48;1;0;1;1;9
12;42;1;0;1;1;9
12;20;1;0;1;1;9
12;50;1;0;5;1;9
12;70;1;0;2;2;9
12;72;1;0;0;2;9
12;50;1;0;3;2;9
12;48;1;1;1;1;9
12;40;1;1;1;1;9
12;48;1;1;1;1;9
12;15;1;0;5;1;9
12;28;1;0;1;1;9
12;40;1;1;0;1;9
12;48;2;0;1;2;9
12;48;2;0;3;2;9
12;50;2;0;1;1;9
8;30;2;0;1;1;9
12;50;2;0;3;1;9
9;48;2;1;1;1;9
12;48;1;0;1;2;9
12;48;2;0;3;2;9
12;40;1;0;0;1;9
12;40;1;1;2;1;9
12;48;1;0;0;2;9
12;56;1;1;1;2;9
12;54;1;1;3;2;9
12;70;1;0;2;1;9
10;50;1;0;5;1;9
12;30;1;0;1;1;9
12;34;1;0;1;1;9
12;32;1;1;2;1;9
12;70;1;1;1;1;9
12;60;2;0;3;1;9
12;40;2;0;4;1;9
12;48;1;0;5;1;9
12;42;1;1;5;2;9
12;14;1;1;5;1;9
12;21;1;0;5;1;9
12;55;2;0;1;1;9
12;55;2;0;5;2;9
12;40;1;0;1;1;9
12;16;1;0;1;1;9
12;36;1;1;2;1;9
12;48;1;1;1;1;9
12;40;1;0;0;1;9
12;48;1;1;3;1;9
12;48;1;0;3;2;9
12;70;1;1;1;2;9
12;50;1;0;1;1;9
12;50;1;1;1;1;9
12;48;1;1;1;2;9
12;48;1;1;3;1;9
12;48;1;1;1;1;9
12;49;1;0;1;1;9
10;28;1;0;1;1;9
12;48;1;1;2;1;9
12;48;1;0;1;1;9
12;42;1;0;1;1;9
12;20;1;1;3;1;9
12;48;1;0;1;2;9
12;40;1;0;1;1;9
12;49;1;1;3;2;9
12;49;1;0;5;2;9
12;50;1;0;0;2;9
5;24;1;0;5;1;9
12;56;1;0;5;2;9
12;54;1;1;1;2;9
12;24;1;0;1;1;9
12;24;1;1;1;1;9
12;44;1;1;4;2;9
12;48;1;0;3;1;9
12;40;1;0;5;1;9
11;24;1;0;1;1;9
12;50;1;1;0;1;9
7;50;1;0;5;1;9
12;48;1;0;1;1;9
12;48;1;0;0;1;9
12;70;1;0;1;2;9
12;48;1;0;3;2;9
12;48;1;1;5;2;9
12;48;1;1;0;1;9
12;48;1;1;1;1;9
12;40;1;0;1;1;9
12;48;1;1;0;1;9
12;40;1;1;0;1;9
12;44;1;0;1;1;9
7;56;1;1;4;1;9
12;40;1;1;3;1;9
12;56;1;1;1;2;9
12;40;1;0;2;2;9
12;48;1;0;5;2;9
12;50;1;0;1;2;9
12;45;1;1;1;2;9
12;60;1;1;2;2;9
12;55;1;0;1;2;9
12;50;1;1;3;2;9
1;24;1;1;0;2;9
12;24;1;0;1;1;9
12;40;1;0;1;1;9
12;40;1;0;2;1;9
12;50;1;0;2;1;9
8;48;2;0;1;1;9
12;54;1;1;3;1;9
8;20;2;0;0;1;16
12;30;2;1;1;1;16
12;10;1;0;1;1;16
2;60;1;0;5;2;16
12;48;1;1;4;1;16
4;40;1;0;1;1;16
12;40;1;0;2;1;16
12;56;1;0;5;1;16
12;32;1;0;5;1;16
11;48;1;1;0;2;16
12;60;1;1;1;1;16
12;15;1;1;2;1;16
12;48;1;0;1;1;16
12;46;1;0;0;1;16
12;56;1;1;1;2;16
10;77;1;1;5;1;16
12;60;1;0;1;1;16
11;28;1;0;5;1;16
12;60;1;0;2;1;16
8;50;1;0;1;1;16
12;48;1;1;0;1;16
12;72;1;1;1;2;16
11;54;1;1;3;1;16
12;30;1;0;1;1;16
12;48;1;1;1;1;16
12;48;1;1;1;1;16
12;24;1;1;1;1;16
12;72;1;0;3;1;16
12;48;1;0;1;1;16
12;48;1;1;3;1;16
12;48;1;1;1;1;16
12;56;1;1;1;1;16
6;9;1;0;5;1;16
12;30;1;1;3;1;16
12;30;1;0;1;1;16
12;10;1;0;5;1;16
1;60;1;1;3;1;16
9;50;1;1;1;1;16
12;48;1;0;3;2;16
12;60;1;0;1;2;16
12;98;1;0;0;1;16
12;50;1;0;3;1;16
2;36;1;1;0;1;16
12;48;1;1;3;2;16
12;66;1;1;1;2;16
12;48;1;1;0;2;16
12;48;1;1;0;2;16
12;48;1;0;5;2;16
12;25;1;1;5;1;16
12;20;1;1;1;1;16
12;45;1;1;1;1;16
12;48;1;0;1;1;16
8;16;1;1;3;1;16
12;48;1;0;1;1;16
12;24;1;0;1;1;16
12;21;1;1;1;1;16
5;84;1;0;1;1;16
12;48;1;0;1;1;16
4;50;1;0;5;1;16
12;48;1;1;2;1;16
12;40;1;0;5;1;16
12;105;1;0;1;2;16
12;54;1;0;1;1;16
12;48;1;1;1;2;16
3;42;1;0;1;1;16
12;60;1;0;1;1;16
12;60;1;1;0;1;16
12;48;1;1;1;2;16
1;30;1;1;5;1;16
12;40;1;1;5;1;16
12;40;1;0;5;1;16
12;24;2;0;2;1;16
3;48;1;0;5;1;16
8;8;2;1;1;1;16
8;48;2;0;2;1;16
12;30;2;1;1;1;16
12;36;1;0;5;1;16
12;48;1;0;3;1;16
12;60;1;1;5;2;16
12;48;1;0;5;1;16
3;48;1;1;1;2;16
12;60;1;0;2;1;16
12;48;1;0;1;2;16
12;48;1;1;3;2;16
12;56;1;0;5;2;16
12;20;1;0;1;1;16
12;30;1;1;1;1;16
3;70;1;0;0;1;16
12;48;1;0;1;1;16
1;54;1;0;0;1;16
12;60;1;1;2;2;16
12;54;1;1;4;1;16
12;40;1;0;0;1;16
4;24;1;1;1;1;16
12;54;1;1;3;2;16
12;48;1;0;0;1;16
12;45;1;1;1;1;16
12;40;1;1;0;2;16
4;50;1;1;3;1;16
2;25;1;1;1;1;16
2;8;1;1;5;1;16
12;45;1;1;1;1;16
10;20;1;1;1;1;16
1;48;1;0;5;1;16
12;60;1;1;5;1;16
8;48;1;1;0;1;16
12;24;1;0;1;1;16
12;8;1;1;3;1;16
1;50;1;0;2;1;16
8;60;1;0;1;2;16
12;48;1;1;1;1;16
12;48;1;0;3;1;16
12;14;1;0;4;1;16
3;16;1;1;1;1;16
12;48;1;0;3;1;16
12;20;1;0;1;1;16
12;24;1;1;2;1;16
8;54;1;0;1;1;16
12;19;1;1;3;1;16
12;48;1;0;1;1;16
12;48;1;1;5;1;16
12;12;1;1;1;1;16
12;40;1;0;0;1;16
12;48;1;1;0;2;16
12;24;1;0;1;1;16
12;60;1;0;0;1;16
12;54;1;1;0;2;16
12;70;1;0;2;1;16
12;35;1;1;3;1;16
12;60;1;1;1;2;16
12;48;1;0;5;2;16
12;48;1;1;1;1;16
12;48;1;1;2;2;16
12;40;1;0;1;1;16
12;42;1;1;1;1;16
5;50;1;1;5;1;16
12;48;1;0;1;1;16
12;40;1;0;3;1;16
12;20;1;1;1;1;16
12;48;1;1;1;2;16
11;48;1;1;1;2;16
12;48;1;1;5;2;16
12;48;1;1;2;1;16
12;48;1;0;2;1;16
12;60;1;1;2;2;16
12;15;1;1;0;1;16
12;48;1;0;2;1;16
12;48;1;0;5;1;16
12;16;1;0;0;1;16
12;36;1;0;5;2;16
12;20;1;1;5;1;16
12;40;1;1;1;1;16
12;40;1;1;1;1;16
8;38;1;1;5;1;16
12;36;1;0;3;1;16
12;40;1;1;5;1;16
1;12;1;0;1;1;16
12;40;1;1;5;1;16
12;60;1;1;1;1;16
5;48;1;1;0;1;16
12;30;1;0;5;1;16
6;12;1;1;1;1;16
12;50;1;0;0;2;16
12;72;1;1;5;1;16
12;60;1;1;1;2;16
12;24;1;0;1;1;16
11;40;1;0;5;1;16
12;48;1;1;0;2;16
12;70;1;1;2;1;16
12;24;1;1;5;1;16
12;48;1;0;1;1;16
12;40;1;1;1;1;16
12;70;1;1;1;1;16
8;40;1;0;5;1;16
12;56;1;0;1;1;16
12;66;1;0;3;2;16
12;55;1;0;1;1;16
12;54;1;1;1;2;16
10;70;1;0;1;2;16
12;56;1;1;1;2;16
12;42;1;0;1;1;16
12;30;1;1;2;1;16
12;48;1;0;1;2;16
12;48;1;0;0;1;16
12;20;2;0;0;1;16
10;48;1;1;1;1;16
12;20;1;0;0;1;16
12;48;1;1;1;2;16
12;40;1;1;5;1;16
8;30;1;0;5;1;16
12;70;1;1;3;1;16
12;25;1;0;3;1;16
12;48;1;0;1;1;16
12;48;1;0;5;2;16
12;48;1;1;5;1;16
12;48;1;0;5;2;16
12;30;1;1;0;1;16
11;48;1;0;0;2;16
12;60;1;0;1;3;16
12;36;1;1;0;3;16
12;48;1;0;3;2;16
5;10;1;1;5;1;16
2;40;1;0;1;1;16
12;24;1;1;5;2;16
10;20;1;0;1;1;16
7;40;1;0;5;1;16
4;48;1;1;2;1;16
12;40;1;1;1;2;16
12;40;1;0;1;1;16
12;70;1;0;1;4;16
12;40;1;0;1;1;16
12;50;1;1;5;1;16
5;48;1;0;3;1;16
10;24;1;0;5;1;16
12;70;1;1;5;1;16
12;70;1;1;1;1;16
12;42;1;0;1;1;16
12;78;1;1;1;1;16
1;12;1;1;5;1;16
12;48;1;0;1;1;16
12;48;1;0;5;2;16
12;55;1;1;0;2;16
4;50;1;0;2;2;16
8;48;1;0;0;2;16
12;40;1;1;1;1;16
12;40;1;0;1;2;16
4;28;1;0;0;1;16
6;42;1;1;0;1;16
12;7;1;0;1;1;16
12;50;1;0;1;2;16
12;48;1;0;1;1;16
12;48;1;1;5;1;16
12;40;1;1;1;1;16
12;30;1;0;3;1;16
3;21;1;1;1;1;16
12;36;1;0;2;1;16
12;50;1;1;1;1;16
12;48;1;0;1;3;16
12;60;1;0;5;2;16
3;60;1;0;1;2;16
12;48;1;1;2;1;16
12;48;1;0;1;1;16
12;40;1;1;5;1;16
1;25;1;0;0;2;16
12;24;1;1;1;1;16
12;30;1;1;1;1;16
12;48;1;0;1;2;16
8;72;1;0;0;1;16
12;35;1;1;1;1;16
12;48;1;0;1;2;16
12;48;1;0;0;2;16
12;48;1;0;5;1;16
12;48;1;0;5;1;16
12;48;1;1;5;1;16
12;48;1;1;5;2;16
6;70;1;1;1;1;16
12;44;1;0;5;1;16
12;24;1;0;1;1;16
6;40;1;1;1;1;16
12;42;1;1;2;1;16
3;32;1;1;1;1;16
12;24;1;1;1;1;16
12;40;1;1;0;1;16
5;48;1;0;0;1;16
12;40;1;0;2;1;16
12;45;2;1;1;1;16
7;40;2;1;5;1;16
2;8;1;1;0;1;16
12;36;1;1;0;1;16
12;36;1;0;2;1;16
12;42;1;1;1;1;16
12;28;2;1;5;1;16
8;42;2;1;3;1;16
7;45;2;1;1;1;16
12;35;1;1;5;1;16
4;16;1;0;0;1;16
12;70;1;0;3;2;16
12;18;1;0;1;1;16
12;84;2;1;1;2;16
12;45;1;0;1;1;16
12;48;1;1;1;1;16
11;56;2;1;1;1;16
12;60;1;1;1;2;16
12;48;2;1;1;1;16
12;12;1;0;3;1;16
12;45;1;0;1;1;16
10;50;1;0;2;1;16
12;48;1;0;1;2;16
12;6;1;1;1;1;16
12;42;1;1;1;1;16
12;24;1;0;5;1;16
12;70;1;1;1;1;16
