MONTHS_WORKED;HOURS_PER_WEEK;SALARY;URBAN_RURAL;SEX;AGE;CODE_C.I.U.O.;OCCUPATION;VALUE_OF_THE_HOUR
12;35;600000.0;2;M;51;9212;arriero;3950.0
12;32;250000.0;1;F;15;9212;arriero;1800.1
12;60;1000000.0;1;M;6;9212;arriero;3840.2
12;50;1000000.0;1;M;50;9212;arriero;4608.3
12;48;1160000.0;1;F;5;9212;arriero;5568.4
12;54;1150000.0;1;F;62;9212;arriero;4907.0
8;54;800000.0;1;F;27;9212;arriero;3413.6
12;40;900000.0;1;M;35;9212;arriero;5184.3
12;40;580000.0;1;M;34;9212;arriero;3341.0
12;50;800000.0;1;F;50;9212;arriero;3686.6
12;50;900000.0;1;M;49;9212;arriero;4147.5
12;40;320000.0;1;F;50;9212;arriero;1843.3
12;42;200000.0;1;F;28;9212;arriero;1097.2
12;28;650000.0;1;M;65;9212;arriero;5348.9
12;15;150000.0;1;M;54;9212;arriero;2304.1
12;48;1160000.0;1;F;55;9212;arriero;5568.4
12;42;750000.0;1;F;50;9212;arriero;4114.5
12;20;500000.0;1;F;53;9212;arriero;5760.4
12;50;400000.0;1;F;88;9212;arriero;1843.3
12;70;1420000.0;1;F;9;9212;arriero;4674.1
12;72;1650000.0;1;F;13;9212;arriero;5280.3
12;50;1230000.0;1;F;23;9212;arriero;5668.2
12;48;1150000.0;1;M;50;9212;arriero;5520.4
12;40;900000.0;1;M;38;9212;arriero;5184.3
12;48;900000.0;1;M;29;9212;arriero;4320.3
12;15;50000.0;1;F;62;9212;arriero;768.0
12;28;200000.0;1;F;56;9212;arriero;1645.8
12;40;300000.0;1;M;12;9212;arriero;1728.1
12;48;1360000.0;2;F;55;9212;arriero;6528.4
12;48;2000000.0;2;F;22;9212;arriero;9600.6
12;50;500000.0;2;F;53;9212;arriero;2304.1
8;30;400000.0;2;F;28;9212;arriero;3072.2
12;50;1000000.0;2;F;23;9212;arriero;4608.3
9;48;1160000.0;2;M;50;9212;arriero;5568.4
12;48;1520000.0;1;F;53;9212;arriero;7296.5
12;48;1210000.0;2;F;24;9212;arriero;5808.4
12;40;350000.0;1;F;14;9212;arriero;2016.1
12;40;400000.0;1;M;10;9212;arriero;2304.1
12;48;1330000.0;1;F;16;9212;arriero;6384.4
12;56;1260000.0;1;M;51;9212;arriero;5184.3
12;54;1340000.0;1;M;24;9212;arriero;5717.7
12;70;800000.0;1;F;9;9212;arriero;2633.3
10;50;1000000.0;1;F;80;9212;arriero;4608.3
12;30;260000.0;1;F;40;9212;arriero;1996.9
12;34;300000.0;1;F;41;9212;arriero;2033.1
12;32;300000.0;1;M;9;9212;arriero;2160.1
12;70;980000.0;1;M;37;9212;arriero;3225.8
12;60;1160000.0;2;F;20;9212;arriero;4454.7
12;40;580000.0;2;F;5;9212;arriero;3341.0
12;48;840000.0;1;F;60;9212;arriero;4032.3
12;42;1310000.0;1;M;86;9212;arriero;7186.7
12;14;100000.0;1;M;82;9212;arriero;1645.8
12;21;360000.0;1;F;70;9212;arriero;3950.0
12;55;1050000.0;2;F;54;9212;arriero;4398.8
12;55;1200000.0;2;F;69;9212;arriero;5027.2
12;40;800000.0;1;F;28;9212;arriero;4608.3
12;16;114000.0;1;F;48;9212;arriero;1641.7
12;36;950000.0;1;M;11;9212;arriero;6080.4
12;48;930000.0;1;M;39;9212;arriero;4464.3
12;40;500000.0;1;F;16;9212;arriero;2880.2
12;48;840000.0;1;M;25;9212;arriero;4032.3
12;48;2100000.0;1;F;21;9212;arriero;10080.6
12;70;1200000.0;1;M;37;9212;arriero;3950.0
12;50;1000000.0;1;F;50;9212;arriero;4608.3
12;50;800000.0;1;M;36;9212;arriero;3686.6
12;48;1450000.0;1;M;32;9212;arriero;6960.4
12;48;1060000.0;1;M;22;9212;arriero;5088.3
12;48;960000.0;1;M;31;9212;arriero;4608.3
12;49;650000.0;1;F;47;9212;arriero;3056.5
10;28;500000.0;1;F;39;9212;arriero;4114.5
12;48;800000.0;1;M;6;9212;arriero;3840.2
12;48;800000.0;1;F;43;9212;arriero;3840.2
12;42;300000.0;1;F;40;9212;arriero;1645.8
12;20;300000.0;1;M;24;9212;arriero;3456.2
12;48;1500000.0;1;F;29;9212;arriero;7200.5
12;40;900000.0;1;F;30;9212;arriero;5184.3
12;49;1300000.0;1;M;26;9212;arriero;6113.0
12;49;1200000.0;1;F;74;9212;arriero;5642.8
12;50;1400000.0;1;F;16;9212;arriero;6451.6
5;24;300000.0;1;F;76;9212;arriero;2880.2
12;56;1450000.0;1;F;64;9212;arriero;5966.1
12;54;2300000.0;1;M;27;9212;arriero;9814.0
12;24;350000.0;1;F;55;9212;arriero;3360.2
12;24;400000.0;1;M;29;9212;arriero;3840.2
12;44;1500000.0;1;M;5;9212;arriero;7855.0
12;48;1160000.0;1;F;25;9212;arriero;5568.4
12;40;750000.0;1;F;79;9212;arriero;4320.3
