CONTRATO_CONT;CONTRATO_TRABAJO;MESES_TRABAJO;HORAS_SEMANA_TRAB;TRABAJO_LUGAR;FONDO;INGRESOS_LABORALES;ACTIVIDAD_DEDICA;OFICIO_C8;ID;URB_RURAL;DEPARTAMENTO;SEXO;AÑOS_CUMPLIDOS;CULTURA;Código C.I.U.O.;Nombre Denominación;Descripción Ocupación
456;4;12;48;8;2;700000.0;1;9212;147338344;2;18;F;0;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
15;4;12;35;8;2;600000.0;1;9212;117338346;2;18;M;51;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
360;4;12;32;8;2;250000.0;1;9212;137339692;1;66;F;15;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
156;7;12;60;8;2;1000000.0;1;9212;157339730;1;66;M;6;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
60;7;12;50;8;2;1000000.0;1;9212;147339962;1;73;M;50;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
36;7;12;48;8;2;1160000.0;1;9212;157340869;1;11;F;5;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
2;7;12;54;8;2;1150000.0;1;9212;117340888;1;11;F;62;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
2;7;8;54;8;2;800000.0;1;9212;127340888;1;11;F;27;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
240;7;12;40;8;2;900000.0;1;9212;117340895;1;11;M;35;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
180;4;12;40;8;2;580000.0;1;9212;137340896;1;11;M;34;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
120;1;12;50;8;2;800000.0;1;9212;117341674;1;19;F;50;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
12;1;12;50;8;2;900000.0;1;9212;127341674;1;19;M;49;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
1;7;8;42;8;2;600000.0;1;9212;177341756;1;20;M;1;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
2;7;12;40;8;2;320000.0;1;9212;127341760;1;20;F;50;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
36;4;12;42;8;2;200000.0;1;9212;117341762;1;20;F;28;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
240;7;12;28;8;2;650000.0;1;9212;137341774;1;20;M;65;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
36;4;12;15;8;2;150000.0;1;9212;117341782;1;20;M;54;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
156;1;12;48;7;1;1160000.0;1;9212;127341842;1;20;F;55;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
300;4;12;42;8;2;750000.0;1;9212;117343471;1;76;F;50;5;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
120;7;12;20;8;2;500000.0;1;9212;117343492;1;76;F;53;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
600;4;12;50;6;2;400000.0;46;9212;117344183;1;20;F;88;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
6;7;12;70;8;2;1420000.0;1;9212;137344760;1;85;F;9;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
1;7;12;72;8;2;1650000.0;1;9212;137344821;1;97;F;13;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
2;1;12;50;8;2;1230000.0;10;9212;137344848;1;70;F;23;1;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
9;7;12;48;8;2;1150000.0;1;9212;147344858;1;70;M;50;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
120;4;12;40;8;2;900000.0;1;9212;167344862;1;70;M;38;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
1;7;12;48;8;2;900000.0;1;9212;117344869;1;70;M;29;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
744;4;12;15;2;2;50000.0;1;9212;157344870;1;70;F;62;6;9212;arriero;Realizan labores sencillas y rutinarias relacionadas con la producción de animales incluidas las aves de corral e insectos, igualmente, colaboran con el mantenimiento de infraestructura pecuaria. Se pueden desempeñar en fincas, parcelas, haciendas, hatos, granjas, entre otros.
