WEEKLY HOURS WORKED;SALARY;SEX;AGE;OCCUPATION
35;600000.0;M;51;arriero
32;250000.0;F;15;arriero
60;1000000.0;M;6;arriero
50;1000000.0;M;50;arriero
48;1160000.0;F;5;arriero
54;1150000.0;F;62;arriero
54;800000.0;F;27;arriero
40;900000.0;M;35;arriero
40;580000.0;M;34;arriero
50;800000.0;F;50;arriero
50;900000.0;M;49;arriero
40;320000.0;F;50;arriero
42;200000.0;F;28;arriero
28;650000.0;M;65;arriero
15;150000.0;M;54;arriero
48;1160000.0;F;55;arriero
42;750000.0;F;50;arriero
20;500000.0;F;53;arriero
50;400000.0;F;88;arriero
70;1420000.0;F;9;arriero
72;1650000.0;F;13;arriero
50;1230000.0;F;23;arriero
48;1150000.0;M;50;arriero
40;900000.0;M;38;arriero
48;900000.0;M;29;arriero
15;50000.0;F;62;arriero
28;200000.0;F;56;arriero
40;300000.0;M;12;arriero
48;1360000.0;F;55;arriero
48;2000000.0;F;22;arriero
50;500000.0;F;53;arriero
30;400000.0;F;28;arriero
50;1000000.0;F;23;arriero
48;1160000.0;M;50;arriero
48;1520000.0;F;53;arriero
48;1210000.0;F;24;arriero
40;350000.0;F;14;arriero
40;400000.0;M;10;arriero
48;1330000.0;F;16;arriero
56;1260000.0;M;51;arriero
54;1340000.0;M;24;arriero
70;800000.0;F;9;arriero
50;1000000.0;F;80;arriero
30;260000.0;F;40;arriero
34;300000.0;F;41;arriero
32;300000.0;M;9;arriero
70;980000.0;M;37;arriero
60;1160000.0;F;20;arriero
40;580000.0;F;5;arriero
48;840000.0;F;60;arriero
42;1310000.0;M;86;arriero
14;100000.0;M;82;arriero
21;360000.0;F;70;arriero
55;1050000.0;F;54;arriero
55;1200000.0;F;69;arriero
40;800000.0;F;28;arriero
16;114000.0;F;48;arriero
36;950000.0;M;11;arriero
48;930000.0;M;39;arriero
40;500000.0;F;16;arriero
48;840000.0;M;25;arriero
48;2100000.0;F;21;arriero
70;1200000.0;M;37;arriero
50;1000000.0;F;50;arriero
50;800000.0;M;36;arriero
48;1450000.0;M;32;arriero
48;1060000.0;M;22;arriero
48;960000.0;M;31;arriero
49;650000.0;F;47;arriero
28;500000.0;F;39;arriero
48;800000.0;M;6;arriero
48;800000.0;F;43;arriero
42;300000.0;F;40;arriero
20;300000.0;M;24;arriero
48;1500000.0;F;29;arriero
40;900000.0;F;30;arriero
49;1300000.0;M;26;arriero
49;1200000.0;F;74;arriero
50;1400000.0;F;16;arriero
24;300000.0;F;76;arriero
56;1450000.0;F;64;arriero
54;2300000.0;M;27;arriero
24;350000.0;F;55;arriero
24;400000.0;M;29;arriero
44;1500000.0;M;5;arriero
48;1160000.0;F;25;arriero
40;750000.0;F;79;arriero
24;480000.0;F;54;arriero
50;650000.0;M;13;arriero
50;1160000.0;F;80;arriero
48;1160000.0;F;44;arriero
48;1150000.0;F;17;arriero
70;1750000.0;F;36;arriero
48;1200000.0;F;25;arriero
48;1800000.0;M;80;arriero
48;620000.0;M;14;arriero
48;720000.0;M;59;arriero
40;480000.0;F;47;arriero
48;480000.0;M;15;arriero
40;300000.0;M;12;arriero
44;1050000.0;F;32;arriero
56;800000.0;M;5;arriero
40;400000.0;M;19;arriero
56;1460000.0;M;28;arriero
40;1950000.0;F;7;arriero
48;1200000.0;F;64;arriero
50;1200000.0;F;28;arriero
45;1500000.0;M;35;arriero
60;1200000.0;M;8;arriero
55;1200000.0;F;53;arriero
50;1560000.0;M;23;arriero
24;1500000.0;M;17;arriero
24;950000.0;F;44;arriero
40;950000.0;F;29;arriero
40;900000.0;F;7;arriero
50;1160000.0;F;8;arriero
48;200000.0;F;57;arriero
54;180000.0;M;19;arriero
20;160000.0;F;12;cocinero
30;450000.0;M;29;cocinero
10;100000.0;F;45;cocinero
60;1500000.0;F;70;cocinero
48;1160000.0;M;5;cocinero
40;800000.0;F;50;cocinero
40;800000.0;F;10;cocinero
56;800000.0;F;61;cocinero
32;160000.0;F;63;cocinero
48;2000000.0;M;17;cocinero
