MONTHS WORKED;WEEKLY HOURS WORKED;SALARY;SEX;AGE;OCCUPATION;VALUE OF THE HOUR
12;35;600000.0;M;51;arriero;3950.0
12;32;250000.0;F;15;arriero;1800.1
12;60;1000000.0;M;6;arriero;3840.2
12;50;1000000.0;M;50;arriero;4608.3
12;48;1160000.0;F;5;arriero;5568.4
12;54;1150000.0;F;62;arriero;4907.0
8;54;800000.0;F;27;arriero;3413.6
12;40;900000.0;M;35;arriero;5184.3
12;40;580000.0;M;34;arriero;3341.0
12;50;800000.0;F;50;arriero;3686.6
12;50;900000.0;M;49;arriero;4147.5
12;40;320000.0;F;50;arriero;1843.3
12;42;200000.0;F;28;arriero;1097.2
12;28;650000.0;M;65;arriero;5348.9
12;15;150000.0;M;54;arriero;2304.1
12;48;1160000.0;F;55;arriero;5568.4
12;42;750000.0;F;50;arriero;4114.5
12;20;500000.0;F;53;arriero;5760.4
12;50;400000.0;F;88;arriero;1843.3
12;70;1420000.0;F;9;arriero;4674.1
12;72;1650000.0;F;13;arriero;5280.3
12;50;1230000.0;F;23;arriero;5668.2
12;48;1150000.0;M;50;arriero;5520.4
12;40;900000.0;M;38;arriero;5184.3
12;48;900000.0;M;29;arriero;4320.3
12;15;50000.0;F;62;arriero;768.0
12;28;200000.0;F;56;arriero;1645.8
12;40;300000.0;M;12;arriero;1728.1
12;48;1360000.0;F;55;arriero;6528.4
12;48;2000000.0;F;22;arriero;9600.6
12;50;500000.0;F;53;arriero;2304.1
8;30;400000.0;F;28;arriero;3072.2
12;50;1000000.0;F;23;arriero;4608.3
9;48;1160000.0;M;50;arriero;5568.4
12;48;1520000.0;F;53;arriero;7296.5
12;48;1210000.0;F;24;arriero;5808.4
12;40;350000.0;F;14;arriero;2016.1
12;40;400000.0;M;10;arriero;2304.1
12;48;1330000.0;F;16;arriero;6384.4
12;56;1260000.0;M;51;arriero;5184.3
12;54;1340000.0;M;24;arriero;5717.7
12;70;800000.0;F;9;arriero;2633.3
10;50;1000000.0;F;80;arriero;4608.3
12;30;260000.0;F;40;arriero;1996.9
12;34;300000.0;F;41;arriero;2033.1
12;32;300000.0;M;9;arriero;2160.1
12;70;980000.0;M;37;arriero;3225.8
12;60;1160000.0;F;20;arriero;4454.7
12;40;580000.0;F;5;arriero;3341.0
12;48;840000.0;F;60;arriero;4032.3
12;42;1310000.0;M;86;arriero;7186.7
12;14;100000.0;M;82;arriero;1645.8
12;21;360000.0;F;70;arriero;3950.0
12;55;1050000.0;F;54;arriero;4398.8
12;55;1200000.0;F;69;arriero;5027.2
12;40;800000.0;F;28;arriero;4608.3
12;16;114000.0;F;48;arriero;1641.7
12;36;950000.0;M;11;arriero;6080.4
12;48;930000.0;M;39;arriero;4464.3
12;40;500000.0;F;16;arriero;2880.2
12;48;840000.0;M;25;arriero;4032.3
12;48;2100000.0;F;21;arriero;10080.6
12;70;1200000.0;M;37;arriero;3950.0
12;50;1000000.0;F;50;arriero;4608.3
12;50;800000.0;M;36;arriero;3686.6
12;48;1450000.0;M;32;arriero;6960.4
12;48;1060000.0;M;22;arriero;5088.3
12;48;960000.0;M;31;arriero;4608.3
12;49;650000.0;F;47;arriero;3056.5
10;28;500000.0;F;39;arriero;4114.5
12;48;800000.0;M;6;arriero;3840.2
12;48;800000.0;F;43;arriero;3840.2
12;42;300000.0;F;40;arriero;1645.8
12;20;300000.0;M;24;arriero;3456.2
12;48;1500000.0;F;29;arriero;7200.5
12;40;900000.0;F;30;arriero;5184.3
12;49;1300000.0;M;26;arriero;6113.0
