MONTHS_WORKED;HOURS_PER_WEEK;SALARY;URBAN_RURAL;SEX;AGE;OCCUPATION
12;12;380000.0;1;1;31;16
12;48;1500000.0;1;1;27;0
12;48;1160000.0;1;1;46;4
12;54;1200000.0;1;1;25;16
12;42;1500000.0;1;1;8;6
12;48;1200000.0;1;0;59;17
12;48;1160000.0;1;1;57;20
12;48;1000000.0;1;0;27;10
12;22;800000.0;1;0;12;14
12;48;1600000.0;1;0;6;15
12;40;1500000.0;1;1;33;2
12;38;950000.0;1;1;57;18
6;30;240000.0;1;0;14;16
12;40;780000.0;1;0;39;12
12;48;2600000.0;1;0;74;6
12;30;1000000.0;1;0;39;2
12;40;1500000.0;1;1;33;2
12;60;180000.0;1;0;56;13
7;48;1500000.0;1;0;27;19
12;84;1800000.0;1;0;25;2
12;48;1800000.0;1;0;65;15
12;48;200000.0;1;1;52;11
12;84;1800000.0;1;0;25;2
12;40;900000.0;1;1;38;9
12;50;1800000.0;1;0;47;20
12;40;3700000.0;1;1;28;1
12;48;1160000.0;1;1;13;6
10;48;1160000.0;1;0;62;6
10;48;1160000.0;1;0;62;6
12;48;1160000.0;1;0;35;20
12;40;480000.0;1;0;47;9
12;50;390000.0;1;1;11;10
2;4;600000.0;1;0;93;1
10;60;1160000.0;2;0;40;4
12;40;1160000.0;1;0;15;20
12;48;1150000.0;1;0;17;9
12;30;1000000.0;1;0;39;2
11;40;2760000.0;1;1;60;5
12;40;1200000.0;1;1;50;19
12;48;1500000.0;1;1;19;14
12;40;1300000.0;1;0;28;7
7;48;1500000.0;1;0;27;19
12;20;300000.0;1;1;24;9
12;60;700000.0;2;0;78;13
12;30;2900000.0;1;0;14;11
12;66;1160000.0;1;1;10;4
8;40;2500000.0;1;1;26;8
12;48;3000000.0;1;0;21;1
12;84;1800000.0;1;0;25;2
12;62;1000000.0;1;0;7;2
12;48;4300000.0;1;1;65;5
12;20;500000.0;1;0;30;7
12;32;1160000.0;1;0;17;14
12;40;1500000.0;1;1;33;2
5;60;2000000.0;1;1;25;13
12;60;180000.0;1;0;56;13
12;48;1160000.0;1;1;55;6
12;56;1000000.0;1;0;20;0
2;48;1160000.0;1;0;23;20
12;28;650000.0;1;1;65;9
12;48;1800000.0;1;0;10;8
12;30;1000000.0;1;0;39;2
9;48;1160000.0;2;1;50;9
12;48;2200000.0;1;0;38;19
12;48;600000.0;1;1;57;11
12;15;800000.0;1;0;49;7
12;48;10000000.0;1;0;6;3
12;40;700000.0;1;0;7;14
12;60;1200000.0;1;0;29;12
12;48;1000000.0;1;0;89;8
12;12;350000.0;1;1;21;10
12;15;800000.0;1;0;49;7
12;48;1160000.0;1;1;35;13
12;50;1160000.0;1;0;45;16
12;56;1500000.0;1;0;35;15
10;40;2800000.0;1;1;27;1
12;30;1000000.0;1;0;39;2
12;40;1500000.0;1;1;33;2
12;40;1300000.0;1;1;51;3
12;60;6000000.0;1;1;41;5
12;48;3500000.0;1;0;7;8
12;48;2200000.0;1;0;42;8
12;48;2600000.0;1;0;44;20
12;50;700000.0;1;0;10;14
12;15;800000.0;1;0;49;7
12;40;1000000.0;1;0;10;1
12;60;1000000.0;1;0;28;18
12;48;1160000.0;1;1;24;20
12;40;1300000.0;1;1;44;17
12;40;1300000.0;1;1;41;18
12;54;400000.0;1;0;32;7
12;48;1200000.0;1;0;59;17
12;48;1300000.0;1;1;13;4
12;48;1300000.0;1;0;22;15
12;20;500000.0;1;0;53;9
12;48;900000.0;1;0;46;6
12;40;1500000.0;1;1;33;2
12;40;580000.0;1;1;34;9
12;54;1340000.0;1;1;24;9
12;48;4250000.0;1;1;32;5
12;40;1500000.0;1;1;33;2
12;48;1500000.0;1;1;15;10
12;54;1000000.0;2;1;28;14
12;39;300000.0;1;1;61;10
12;40;1400000.0;1;0;71;13
12;30;1000000.0;1;0;39;2
12;40;500000.0;1;0;61;12
12;30;400000.0;1;1;6;13
12;48;400000.0;1;1;41;10
12;48;600000.0;1;0;43;14
12;48;1500000.0;1;1;32;12
12;28;850000.0;1;0;72;0
12;48;1500000.0;1;1;27;0
8;70;300000.0;1;1;12;17
12;48;8800000.0;1;0;36;5
12;56;1164000.0;1;0;17;19
12;70;300000.0;1;0;20;10
12;60;700000.0;2;0;78;13
12;30;250000.0;1;0;30;11
12;48;1160000.0;1;0;64;4
12;15;150000.0;1;1;54;9
12;40;2200000.0;1;0;34;20
12;24;90000.0;1;0;6;13
12;48;2500000.0;1;1;61;19
12;32;781000.0;1;1;62;20
12;48;1520000.0;1;0;53;9
12;62;1000000.0;1;0;7;2
6;45;2000000.0;1;1;30;1
1;48;600000.0;1;1;9;18
12;60;1100000.0;1;1;38;0
12;48;800000.0;1;1;19;13
12;40;4000000.0;1;0;61;5
12;62;1000000.0;1;0;7;2
12;48;100000.0;1;1;35;13
10;48;1600000.0;1;1;67;12
12;48;1150000.0;1;0;26;10
12;48;1300000.0;1;1;21;20
12;48;600000.0;1;1;48;11
12;48;1500000.0;1;0;37;1
12;48;500000.0;1;0;66;8
8;72;1350000.0;1;0;9;12
11;40;2760000.0;1;1;60;5
8;24;70000.0;1;1;65;11
12;48;1160000.0;1;0;42;20
11;40;1750000.0;1;0;67;15
12;40;1500000.0;1;0;65;8
12;30;1000000.0;1;0;39;2
12;21;120000.0;1;1;35;11
12;56;1164000.0;1;0;17;19
11;48;1400000.0;1;1;79;19
1;24;1500000.0;1;1;17;9
12;40;300000.0;1;1;12;9
11;48;3500000.0;1;1;37;18
12;48;1200000.0;1;1;56;20
12;10;900000.0;1;1;36;3
12;48;910000.0;1;1;26;15
12;48;1200000.0;1;0;23;1
12;48;1624000.0;1;1;51;5
8;70;300000.0;1;1;12;17
12;50;5000000.0;1;0;75;7
12;48;1160000.0;1;1;13;17
12;62;1000000.0;1;0;7;2
5;24;400000.0;1;1;57;0
12;48;1160000.0;1;0;6;1
10;48;1160000.0;1;0;62;6
12;60;8000000.0;1;0;16;3
12;24;200000.0;1;0;82;10
12;40;700000.0;1;0;7;14
8;20;180000.0;1;0;61;14
12;45;2000000.0;1;1;68;8
12;48;500000.0;1;1;69;13
12;50;5000000.0;1;0;75;7
12;40;5000000.0;1;0;45;1
12;20;500000.0;1;0;30;7
12;30;700000.0;1;0;29;7
12;48;1600000.0;1;0;8;4
8;70;300000.0;1;1;12;17
12;48;1330000.0;1;0;16;9
12;20;300000.0;1;1;10;7
12;84;1800000.0;1;0;25;2
12;48;1500000.0;1;1;27;0
